,por_que_pelota_que_canta_count,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos_count,que_otra_cosa_podria_ser_una_pelota_de_pelos_count,explica_tu_respuesta_en_la_frase_pelota_de_plata_count,c1t_count,c2t_count,c3t_count,c4t_count,c5t_count,c6t_count,que_significa_1_count,por_que_crees_que_si_o_no_es_posible_1_count,que_significa_2_count,por_que_crees_que_si_o_que_no_es_posible_2_count,que_significa_3_count,por_que_crees_que_si_o_que_no_es_posible_3_count,que_significa_4_count,por_que_crees_que_si_o_que_no_es_posible_4_count,que_significa_5_count,por_que_crees_que_si_o_que_no_es_posible_5_count,que_significa_6_count,por_que_crees_que_si_o_que_no_es_posible_6_count,que_significa_7_count,por_que_crees_que_si_o_que_no_es_posible_7_count,que_significa_8_count,por_que_crees_que_si_o_que_no_es_posible_8_count,que_significa_9_count,por_que_crees_que_si_o_que_no_es_posible_9_count,suma_total
10,12,5,3,14,5,2,2,4,8,10,5,11,5,7,5,16,5,11,5,6,6,9,7,10,6,11,5,6,201
11,4,4,3,6,10,18,9,4,6,6,5,3,2,2,5,4,4,2,4,4,4,3,6,5,3,3,6,2,137
12,7,0,2,2,1,2,1,1,6,6,5,6,2,3,6,6,4,5,5,5,6,5,3,3,5,5,6,6,114
13,1,4,5,14,3,6,3,3,2,2,2,9,2,7,4,9,4,8,4,3,5,3,9,3,7,3,5,3,133
14,6,8,5,4,3,3,1,3,4,0,6,5,6,4,2,2,3,5,3,5,6,4,3,4,3,2,3,4,107
15,9,5,8,7,4,5,3,3,7,6,5,6,5,7,4,8,4,7,4,6,5,6,5,5,6,6,5,8,159
16,8,3,4,6,2,2,1,1,3,5,7,7,4,7,6,7,5,6,6,8,6,6,4,6,4,5,3,6,138
17,10,3,6,8,4,4,1,2,4,8,10,8,6,5,9,12,7,6,9,7,2,5,7,3,5,8,5,10,174
18,4,2,7,2,5,6,6,3,5,4,5,7,4,3,3,7,3,5,3,5,4,5,3,4,6,4,4,6,125
19,8,5,4,5,4,6,4,5,5,6,7,3,5,3,4,3,5,3,6,3,7,3,4,3,5,3,4,3,126
20,5,3,5,6,1,1,1,1,5,4,2,7,2,7,2,6,4,5,2,7,3,7,5,6,7,8,5,7,124
21,11,8,5,7,3,5,6,3,5,4,7,9,5,8,5,10,11,10,3,5,3,6,2,5,3,5,3,4,161
22,6,12,11,8,1,5,3,2,4,4,8,10,6,0,0,0,0,0,3,5,7,5,3,3,4,5,3,5,123
23,6,5,4,0,8,7,8,6,5,6,5,6,5,8,5,10,5,8,0,0,0,0,0,0,0,0,0,0,107
24,8,4,7,7,3,7,4,3,5,5,6,10,4,6,4,8,3,7,3,5,3,7,5,4,4,7,4,8,151
25,0,0,0,0,0,0,0,0,0,0,2,8,1,4,2,8,3,7,0,0,5,6,0,0,0,0,0,0,46
26,6,7,11,9,5,7,5,8,8,3,2,9,1,7,2,4,3,6,3,5,2,3,3,2,2,4,1,4,132
27,3,3,4,1,2,2,1,1,3,4,3,4,3,3,3,6,1,4,2,3,2,4,2,6,2,3,2,5,82
28,5,8,2,4,6,5,5,5,6,6,10,12,8,9,6,8,5,14,6,10,7,8,6,11,4,6,7,9,198
29,7,13,0,0,4,4,4,3,8,6,6,6,7,5,6,7,5,5,3,3,6,7,5,4,4,4,0,0,132
30,6,7,5,9,2,2,1,1,3,4,4,7,5,9,4,14,6,10,6,7,5,11,4,7,4,10,3,8,164
31,4,5,5,2,3,6,8,3,8,4,5,7,7,6,7,7,5,8,4,4,5,5,4,4,4,6,2,4,142
32,7,4,7,0,2,2,1,2,3,5,6,6,4,4,5,4,4,6,3,4,5,5,5,4,5,4,4,4,115
33,0,2,4,3,6,5,4,4,3,6,2,13,2,12,2,5,4,8,3,8,0,0,0,0,7,8,3,4,118
34,5,6,7,0,1,2,1,3,5,4,4,6,4,7,3,0,4,7,3,9,3,5,3,0,4,9,3,5,113
35,6,3,4,0,1,1,3,1,3,10,0,10,0,7,6,6,5,9,7,6,7,9,3,5,6,8,6,7,139
36,9,3,7,12,1,3,1,1,4,4,4,11,7,9,0,0,7,11,6,9,8,7,8,10,7,9,6,6,170
37,8,12,7,13,9,8,15,10,18,14,8,12,12,9,3,4,5,0,8,5,6,9,4,11,6,7,5,6,234
38,8,9,6,3,3,2,3,4,7,4,5,10,8,8,9,7,9,8,9,9,7,8,8,7,6,5,3,4,179
39,5,7,2,5,3,3,3,3,3,5,4,7,3,9,5,11,4,7,6,9,5,7,6,9,9,12,7,9,168
40,6,3,6,6,1,1,1,1,2,6,2,7,2,5,3,7,5,13,3,10,8,5,7,4,9,6,5,9,143
41,10,4,3,5,4,4,6,5,5,6,4,10,4,6,4,6,4,7,5,10,0,0,2,4,2,4,1,10,135
42,5,6,5,2,3,3,4,3,4,6,0,7,0,6,0,8,0,7,3,0,0,0,4,4,0,4,0,3,87
43,3,7,4,3,1,1,3,1,2,0,5,4,5,4,5,4,4,4,4,4,5,5,6,4,4,4,5,4,105
44,7,5,6,7,2,3,4,6,3,5,7,9,4,7,6,7,6,5,5,7,9,12,0,1,0,0,9,6,148
45,10,3,6,0,2,2,1,1,3,7,2,4,6,4,5,2,5,7,0,0,0,0,0,0,0,0,0,0,70
46,4,5,3,6,7,5,6,4,5,4,9,12,9,7,11,16,6,15,7,6,7,4,8,8,6,7,4,9,200
47,5,3,3,7,1,4,1,1,4,2,0,6,3,3,2,6,7,7,2,9,3,8,0,0,4,4,2,3,100
48,4,3,4,4,5,2,3,3,3,5,5,7,9,4,5,3,5,7,3,7,3,6,2,3,4,3,4,4,120
49,4,5,2,6,1,4,1,1,3,6,5,9,5,9,3,7,4,7,4,8,4,7,4,11,5,5,4,7,141
50,4,7,9,5,11,21,14,11,19,10,5,10,5,9,5,8,4,11,3,9,4,6,6,7,8,7,4,8,230
51,7,3,5,4,1,2,3,2,6,5,5,0,3,0,2,0,3,0,3,0,7,0,4,0,6,0,5,0,76
52,6,5,11,2,3,3,3,3,4,5,5,9,6,9,7,11,4,7,8,6,7,8,5,8,6,9,3,7,170
53,8,5,4,2,2,2,1,1,3,6,5,12,5,7,7,8,4,6,3,4,5,7,4,8,6,5,4,9,143
54,15,5,8,0,2,2,4,6,7,7,6,10,7,11,6,11,6,9,6,8,6,8,7,11,4,8,6,8,194
55,6,5,5,12,2,1,1,1,2,4,9,9,7,7,5,7,3,8,4,10,8,7,5,6,8,9,4,9,164
56,7,4,5,5,1,1,1,1,3,4,2,7,4,7,2,8,3,6,2,7,2,11,4,7,3,8,3,6,124
57,6,5,5,5,1,2,1,1,2,4,3,7,4,6,5,7,3,7,4,5,6,7,3,5,4,5,4,5,122
58,6,3,4,8,1,3,0,2,3,4,9,9,4,9,4,9,6,8,3,7,5,6,5,8,4,5,3,5,143
59,6,5,8,15,1,2,1,1,3,5,7,8,10,8,5,16,4,7,4,8,7,5,5,5,6,8,6,9,175
60,10,6,5,11,3,4,4,5,16,7,5,17,7,15,7,13,6,12,7,6,6,13,6,12,6,7,4,8,228
61,6,4,6,6,3,7,7,6,4,8,4,4,3,8,3,6,3,7,2,3,3,7,3,5,5,8,3,9,143
62,3,5,9,4,3,1,1,1,5,10,1,11,3,4,1,8,7,6,5,9,4,5,3,7,5,5,2,6,134
63,13,5,5,17,3,3,6,8,8,6,6,7,4,7,5,6,5,7,4,8,8,8,8,14,7,14,7,8,207
64,6,5,11,7,1,1,4,5,7,0,7,11,6,9,3,7,13,14,5,4,6,9,6,9,6,4,9,6,181
65,6,5,10,4,0,0,0,0,0,0,5,6,5,6,4,5,4,6,5,5,5,6,4,9,3,7,2,7,119
66,6,5,5,5,1,1,5,5,3,4,3,8,4,7,3,4,2,5,4,6,3,6,4,4,4,5,4,5,121
67,6,6,7,17,4,4,1,1,3,6,7,7,6,6,6,6,5,5,5,5,6,5,5,6,4,8,6,11,164
68,7,5,5,6,6,4,6,3,3,5,5,9,5,7,5,10,5,9,4,10,6,9,10,9,4,9,4,8,178
69,4,5,5,4,7,5,9,3,7,4,4,6,2,8,2,7,3,4,2,5,4,7,2,4,3,5,2,4,127
70,6,5,8,10,2,2,1,2,2,5,3,12,5,6,2,8,5,7,3,15,4,6,5,8,5,5,6,6,154
71,10,12,13,7,2,4,4,7,5,9,0,0,7,8,10,5,5,8,9,8,6,7,0,0,8,8,5,9,176
72,7,6,13,6,2,2,2,1,0,9,6,14,6,6,4,6,10,10,4,14,5,6,6,6,4,5,5,6,171
73,4,5,5,3,1,2,2,4,2,7,4,4,5,3,0,6,4,4,4,6,3,7,7,3,3,4,5,8,115
74,6,3,5,3,1,1,7,1,8,8,3,7,3,7,4,9,2,9,2,4,4,5,5,5,4,6,3,5,130
75,9,5,4,3,5,4,0,8,0,5,8,8,0,0,0,0,9,11,0,0,0,0,0,0,5,2,5,5,96
76,6,7,2,10,3,1,1,2,2,4,4,5,5,5,6,5,5,6,4,8,5,7,7,13,4,6,5,8,146
77,9,5,0,9,3,6,5,4,5,7,5,11,2,5,3,11,5,6,3,11,3,7,4,4,4,4,6,0,147
78,6,3,4,2,1,3,3,0,8,7,5,5,3,7,4,0,3,3,4,10,4,3,4,7,0,4,0,5,108
79,6,5,4,0,2,2,4,2,6,3,3,6,5,8,4,4,5,8,4,4,3,2,6,0,3,0,3,0,102
80,0,5,0,0,7,5,2,2,3,3,0,2,1,2,0,2,1,4,2,0,0,4,0,2,3,0,3,0,53
81,6,4,5,9,4,6,5,7,5,5,3,6,5,4,3,3,4,5,5,4,3,6,7,5,2,5,3,7,136
82,12,5,5,4,3,3,3,3,4,6,5,0,7,0,0,5,5,0,0,3,0,3,0,2,2,0,0,5,85
83,11,5,6,4,1,2,3,2,5,4,3,0,2,7,0,0,2,4,4,6,6,9,0,4,5,4,5,9,113
84,7,0,6,2,1,1,1,7,2,4,0,2,2,2,0,0,5,0,0,0,0,0,0,0,6,0,7,0,55
85,6,4,4,9,1,3,3,1,0,3,6,0,4,8,4,8,4,8,0,0,0,0,0,0,5,5,5,9,100
86,0,4,5,5,5,4,5,1,1,5,6,9,4,3,0,5,5,6,0,4,4,4,0,0,5,3,5,3,101
87,13,10,0,10,9,8,4,16,5,18,5,14,5,0,5,11,0,7,3,5,3,5,3,5,3,5,4,5,181
88,5,2,3,1,3,7,4,3,3,5,4,4,3,3,2,5,1,5,2,2,2,4,5,2,2,2,3,2,89
89,5,5,3,9,2,4,5,1,0,0,3,5,4,5,5,2,7,3,3,4,2,2,5,2,4,5,0,5,100
90,4,5,14,12,3,5,3,4,1,7,3,6,4,6,4,11,4,5,4,9,3,6,4,6,2,5,5,12,157
91,6,7,7,4,3,2,5,2,6,9,4,7,5,6,3,2,4,6,2,5,2,6,5,0,2,2,2,3,117
92,6,5,0,0,4,0,2,1,1,0,4,5,7,2,0,0,5,0,3,0,0,0,0,0,0,0,3,0,48
93,5,8,1,3,2,1,1,1,4,5,5,8,6,9,7,0,4,5,5,4,7,6,7,0,3,7,3,8,125
94,6,3,2,2,2,2,2,2,7,2,2,7,3,4,2,8,2,8,2,7,4,5,3,8,4,3,5,7,114
95,6,4,5,3,2,2,2,5,1,2,2,10,7,7,3,8,3,6,0,0,0,0,0,0,4,6,2,3,93
96,6,10,8,5,5,5,1,6,7,3,5,10,5,9,4,10,1,9,0,9,3,10,4,10,3,7,4,6,165
97,4,6,10,10,1,1,2,3,3,4,6,9,6,8,8,8,9,5,2,8,2,5,2,10,2,7,2,7,150
98,4,3,5,5,7,5,5,4,6,5,5,8,7,6,5,8,5,5,3,7,5,8,4,7,4,8,5,6,155
99,6,2,2,3,5,2,9,3,4,5,4,5,4,7,4,7,2,5,3,7,5,7,3,4,3,7,3,7,128
100,5,3,1,9,1,1,1,1,3,3,2,3,5,3,3,4,2,3,2,3,4,9,3,5,4,4,4,7,98
101,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
102,8,3,0,8,4,2,3,1,1,5,3,5,1,3,0,0,1,4,4,3,0,4,0,0,4,7,0,0,74
103,7,7,5,9,1,1,1,1,3,0,0,7,0,7,0,7,0,7,0,7,0,5,0,0,0,6,0,7,88
104,6,0,0,4,5,2,3,1,7,5,0,7,1,6,1,6,1,0,0,0,0,0,4,4,0,0,2,4,69
105,12,8,11,8,2,5,4,5,3,10,4,17,5,5,5,13,6,7,4,5,6,5,3,7,3,6,5,9,183
106,5,4,0,3,2,2,2,1,5,6,4,9,3,10,3,9,3,7,5,8,7,4,0,6,2,8,0,0,118
107,6,5,0,6,3,3,3,3,3,5,2,3,4,3,4,2,4,9,3,3,3,3,6,3,2,3,6,2,102
108,6,5,0,5,4,4,2,0,6,4,2,5,0,2,0,0,0,0,0,0,0,4,0,0,4,4,4,13,74
109,13,5,13,5,2,0,3,0,2,6,4,6,4,8,0,9,4,4,0,0,0,0,0,0,5,9,7,0,109
110,6,7,7,0,3,3,3,3,0,6,2,6,4,0,0,0,2,8,0,0,0,0,0,0,4,6,5,0,75
111,9,7,6,5,5,5,5,6,6,5,4,8,6,7,4,7,5,7,4,6,6,8,6,9,9,9,4,3,171
112,5,4,12,4,5,4,5,4,3,2,5,10,5,10,7,7,3,5,3,9,6,5,7,4,3,4,3,8,152
113,3,6,4,6,2,4,3,7,7,4,5,2,4,4,6,7,6,10,3,4,4,3,3,3,3,7,3,4,127
114,6,3,4,9,4,2,1,1,2,4,9,19,5,7,3,5,5,4,3,12,4,7,4,4,2,4,3,5,141
115,6,3,4,6,2,2,1,1,2,6,5,9,2,4,0,5,4,6,0,7,5,3,0,4,2,4,2,6,101
116,5,1,1,1,5,5,4,4,4,4,7,9,7,9,5,5,5,4,1,5,1,6,1,4,1,5,1,5,115
117,5,16,0,5,7,2,4,5,1,1,8,9,6,6,6,8,10,13,6,6,6,14,10,11,6,7,9,14,201
118,5,3,1,2,3,3,3,8,2,5,6,11,4,6,4,6,3,5,1,4,6,5,3,5,3,5,2,4,118
119,6,2,8,5,8,1,4,8,7,6,4,6,4,7,2,8,4,5,2,7,4,8,4,7,5,5,4,8,149
120,5,11,2,7,1,3,4,3,5,2,1,4,5,9,1,0,4,6,1,6,1,4,1,5,6,4,1,4,106
121,6,3,8,22,1,4,5,6,9,6,7,8,5,9,5,7,6,7,7,7,4,0,0,0,5,4,5,7,163
122,0,0,1,0,1,3,2,6,2,4,6,2,1,2,2,2,1,2,0,2,7,2,0,2,1,2,2,0,55
123,5,10,8,5,4,3,5,4,6,5,2,6,5,10,2,8,4,8,2,9,3,12,1,5,1,7,1,0,141
124,0,3,7,6,2,3,1,5,2,3,3,3,4,3,0,3,5,5,5,0,0,3,5,6,4,0,1,14,96
125,6,5,10,8,3,3,1,2,3,4,5,5,2,5,6,8,6,0,5,10,2,4,6,6,4,4,6,8,137
126,9,5,6,5,6,3,0,1,8,0,2,5,7,8,6,5,5,5,0,4,0,6,6,4,3,4,3,5,121
127,7,5,4,5,3,3,3,4,3,5,5,4,5,4,5,5,5,5,4,5,3,5,4,5,3,4,3,4,120
128,9,4,2,3,1,5,7,6,5,5,9,7,6,6,2,4,4,4,7,8,0,0,4,4,3,5,7,8,135
129,5,5,14,16,7,5,5,3,13,8,7,0,7,0,7,8,7,9,7,10,7,8,6,6,6,8,6,9,199
130,10,8,7,5,0,3,3,6,8,8,8,9,4,8,5,5,5,8,4,4,0,0,4,9,4,9,4,6,154
131,5,7,5,5,2,4,1,1,4,8,5,9,5,9,5,8,4,10,3,9,5,11,4,5,4,7,3,5,153
132,6,5,8,8,7,9,8,6,5,7,5,13,7,9,2,11,8,9,6,10,1,9,3,6,4,8,7,8,195
133,7,9,1,6,6,12,12,15,15,15,8,23,8,9,6,6,5,11,9,12,5,6,6,9,4,7,7,7,246
134,7,7,2,8,8,3,3,2,10,4,2,7,4,11,5,7,2,8,3,9,2,8,4,8,4,5,5,10,158
135,3,7,6,3,3,6,5,7,3,2,5,17,6,8,9,6,6,7,1,10,1,12,4,5,1,7,7,3,160
136,6,5,2,6,5,3,4,1,2,3,6,4,5,3,4,8,4,6,2,4,3,3,4,4,4,2,0,0,103
137,6,3,6,6,7,3,3,1,0,7,6,8,6,6,5,7,4,6,4,6,0,0,0,0,4,5,0,0,109
138,12,6,5,10,0,2,2,7,6,4,3,4,3,3,3,7,3,6,3,5,3,5,3,3,3,5,3,5,124
139,6,3,0,4,1,1,1,1,3,6,3,4,5,4,0,3,3,2,4,3,0,4,0,5,2,6,7,3,84
140,7,7,7,7,2,1,1,1,2,7,5,4,5,3,4,2,3,3,2,3,7,3,4,5,4,3,2,4,108
141,8,8,11,14,8,10,5,10,0,10,6,15,6,14,4,9,7,17,6,12,0,0,0,0,5,18,7,9,219
142,16,15,7,10,8,6,7,7,11,11,6,7,6,9,5,9,5,10,5,14,7,6,5,5,4,7,5,7,220
143,6,9,5,3,3,4,4,2,5,5,3,13,6,9,2,12,3,4,5,7,6,4,3,4,3,4,8,0,142
144,6,5,10,13,1,1,1,2,8,4,5,5,1,6,4,6,3,6,4,4,2,4,6,6,6,4,6,4,133
145,7,6,6,11,3,11,10,6,11,9,8,7,4,6,5,10,3,9,6,6,0,0,4,12,3,7,4,8,182
146,6,3,2,8,1,3,3,1,4,4,8,7,4,7,2,3,7,7,6,6,0,5,4,7,3,7,7,0,125
147,16,13,16,21,8,10,10,7,12,19,8,10,11,15,6,12,6,11,4,11,5,8,5,15,2,13,6,10,290
148,16,9,8,8,4,4,6,7,6,8,6,12,7,14,7,17,6,11,6,9,8,7,8,11,4,9,9,16,243
149,4,5,4,4,4,8,12,6,10,8,7,16,6,5,10,10,8,11,7,8,10,8,6,8,6,8,10,10,219
150,7,4,5,9,2,4,3,2,2,4,5,9,4,12,4,14,4,7,4,9,0,6,0,0,3,9,0,0,132
151,28,4,8,13,0,3,3,6,3,4,3,11,4,9,10,16,5,7,3,12,4,3,4,9,4,6,4,12,198
152,17,7,5,10,1,3,1,1,2,3,12,12,6,8,8,0,6,8,6,10,8,13,0,6,9,13,9,7,191
153,7,5,5,7,3,2,2,2,4,4,5,9,6,7,5,7,6,9,6,9,5,9,6,9,4,8,5,6,162
154,6,5,4,5,8,4,4,3,4,7,4,5,3,3,5,8,5,3,2,4,3,5,3,3,2,4,1,3,116
155,7,7,7,11,1,3,1,1,2,4,3,7,1,8,2,4,3,4,4,8,3,8,1,5,5,6,5,6,127
156,7,8,6,4,1,1,4,1,1,4,4,2,5,5,3,5,2,5,3,1,0,1,4,1,2,1,4,1,86
157,6,5,5,4,2,1,3,1,2,4,2,8,3,5,2,8,2,10,6,5,5,4,2,4,2,3,2,4,110
158,6,7,2,9,4,7,3,2,1,4,5,7,7,9,7,7,7,7,0,0,0,0,0,0,0,0,0,0,101
159,5,10,6,8,3,4,7,3,4,7,3,9,4,10,3,9,4,10,3,10,7,9,5,13,3,9,5,6,179
160,6,5,9,6,2,2,1,2,2,3,4,6,4,4,4,12,4,9,4,6,4,8,7,6,3,5,6,0,134
161,5,5,4,7,1,3,1,3,2,4,2,4,5,8,3,8,3,6,6,5,6,5,4,4,2,7,4,9,126
162,6,5,7,4,3,4,3,8,3,6,4,7,4,7,4,5,3,3,5,7,2,5,2,4,2,6,7,8,134
163,6,5,6,14,4,4,4,13,8,6,9,18,7,12,4,0,7,14,8,9,6,10,7,13,6,9,6,10,225
164,5,5,5,2,5,4,4,5,8,3,6,8,5,8,5,7,4,7,6,7,3,11,5,7,3,6,7,5,156
165,6,7,6,6,1,4,2,3,2,4,5,6,4,7,4,6,4,5,4,5,3,6,6,11,5,8,5,14,149
166,8,5,15,5,6,5,11,5,8,9,2,7,5,10,2,8,2,10,4,11,5,15,4,11,4,9,4,9,199
167,7,5,6,0,5,5,5,7,4,4,6,7,4,10,4,11,5,9,6,7,7,5,0,0,5,5,7,8,154
168,11,5,8,8,7,8,6,14,12,12,2,7,2,3,2,14,6,5,3,6,6,7,5,7,4,8,5,5,188
169,8,11,16,8,4,6,12,5,4,8,8,14,7,9,4,7,6,10,3,16,4,10,5,10,5,5,6,12,223
170,6,3,3,4,1,3,0,2,2,4,6,1,2,1,10,1,6,0,0,0,0,0,4,0,0,0,0,0,59
171,10,8,4,8,5,3,10,14,8,12,6,3,6,12,6,9,2,6,3,5,3,4,3,7,2,6,4,6,175
172,11,8,7,9,5,3,5,4,12,4,3,9,4,8,4,8,3,7,2,9,3,7,3,10,3,7,3,6,167
173,13,3,3,4,6,2,3,5,3,4,3,7,3,7,3,4,2,7,2,6,4,10,4,5,3,4,2,7,129
174,10,8,7,8,9,4,4,4,5,7,6,13,7,7,6,8,7,7,2,5,4,4,3,3,4,5,3,4,164
175,7,15,14,13,1,3,5,4,7,8,5,8,5,10,3,7,5,8,2,6,3,5,6,11,3,6,5,5,180
176,6,7,8,3,5,8,3,3,2,4,4,7,5,7,4,8,2,8,0,6,5,8,0,6,3,8,4,9,143
177,6,4,5,2,2,5,5,1,5,4,6,14,4,5,3,8,2,9,1,9,3,11,5,11,2,10,4,8,154
178,4,4,5,4,3,5,4,2,3,3,5,7,3,6,5,4,4,9,1,3,2,2,4,1,4,3,4,2,106
179,12,14,13,9,6,8,8,3,4,6,2,12,6,11,7,9,5,6,0,6,7,10,4,9,4,9,5,7,202
180,9,5,7,5,3,2,1,3,4,8,3,4,4,6,3,9,4,8,3,6,3,3,3,6,4,7,5,7,135
181,7,5,8,2,4,6,2,6,3,7,3,6,6,9,1,9,3,6,5,6,4,5,6,7,4,4,5,3,142
182,10,6,8,12,2,2,1,2,3,10,5,7,5,8,5,14,5,8,3,8,10,10,4,9,4,9,7,10,187
183,6,4,4,5,5,4,4,5,10,7,6,8,7,9,5,10,4,13,5,10,4,8,4,8,3,7,3,9,177
184,4,4,4,2,11,4,3,2,7,4,5,10,4,11,5,4,4,6,2,8,3,6,3,7,2,3,2,5,135
185,7,5,5,6,1,3,2,3,0,7,11,12,7,10,7,10,2,5,5,9,3,13,8,9,5,4,6,7,172
186,3,2,5,3,2,2,5,0,5,4,3,3,6,8,0,6,2,5,3,6,4,3,0,0,0,3,3,7,93
187,9,6,2,9,5,1,1,3,2,6,5,8,6,10,13,0,6,0,5,9,7,8,4,10,4,5,5,9,158
188,5,4,5,3,0,1,1,2,1,5,3,9,3,7,4,5,3,5,1,5,4,5,2,4,3,4,2,2,98
189,5,7,5,14,6,5,7,5,7,6,6,13,4,2,3,6,4,7,4,5,5,6,4,4,3,3,3,6,155
190,4,13,12,3,1,1,1,3,2,5,3,12,5,11,3,5,4,4,2,6,2,7,3,9,3,4,3,5,136
191,6,4,4,6,4,10,4,3,4,5,4,5,4,3,3,3,3,5,3,4,3,6,4,4,3,1,3,2,113
192,6,5,2,4,4,2,2,3,3,6,3,8,5,11,7,9,0,0,2,7,3,7,0,0,3,8,0,0,110
193,7,16,7,6,1,2,3,7,2,9,5,10,8,10,5,8,2,6,2,11,3,10,4,4,5,4,3,2,162
194,10,8,10,5,2,6,5,4,11,10,5,8,5,8,5,8,5,7,6,7,4,5,4,6,4,6,4,9,177
195,9,7,6,10,5,5,4,4,4,6,6,6,6,10,6,8,4,8,6,11,7,11,5,10,5,6,5,8,188
196,6,5,7,8,6,6,6,6,11,8,3,9,4,0,5,6,2,7,3,7,4,6,0,0,3,6,4,6,144
197,7,5,6,14,7,7,12,10,11,8,3,9,3,6,2,9,2,5,2,10,2,12,5,6,8,0,5,6,182
198,8,5,13,8,1,2,3,6,2,7,4,11,5,11,0,11,3,9,5,11,4,11,0,7,5,9,6,10,177
199,12,12,9,9,3,4,5,5,6,6,4,6,6,5,3,6,5,5,3,6,7,0,3,6,7,0,5,7,155
200,6,5,4,8,9,10,11,10,8,7,5,10,6,5,5,10,6,11,0,0,4,9,5,7,5,6,5,5,182
201,13,6,19,12,9,5,10,4,5,11,6,8,0,0,6,13,9,13,11,16,9,10,6,13,4,9,6,11,244
202,6,5,2,16,4,2,3,5,5,7,4,7,4,6,5,8,7,9,4,6,4,5,6,7,3,12,4,4,160
203,6,9,5,7,4,9,6,3,4,8,7,13,6,6,2,7,3,11,7,6,5,10,10,7,3,5,5,10,184
204,13,7,9,9,2,1,1,1,2,13,6,6,5,14,4,7,8,7,4,9,6,5,7,7,7,7,4,10,181
205,10,4,10,9,5,3,5,2,6,4,3,6,4,7,4,5,5,6,6,6,3,5,5,3,3,7,3,13,152
206,16,6,15,18,5,19,7,12,7,10,3,11,3,7,6,10,12,0,3,9,8,6,0,0,3,4,6,15,221
207,5,4,0,5,2,2,1,1,2,5,3,6,5,5,0,0,2,10,4,11,3,5,5,10,4,4,4,6,114
208,6,7,7,7,4,4,2,7,2,4,4,4,2,6,4,6,4,5,4,7,3,4,4,4,7,7,4,5,134
209,6,5,6,4,3,3,1,3,3,6,2,4,3,3,3,0,4,0,5,0,4,0,5,0,5,5,3,0,86
210,6,6,6,8,6,4,7,4,4,7,3,9,3,6,4,6,2,7,2,4,3,7,5,5,2,4,4,4,138
211,14,6,3,4,4,3,3,9,8,6,6,5,5,7,4,6,6,5,2,5,5,13,7,9,4,7,6,5,167
212,5,3,2,0,2,8,13,5,5,14,2,2,2,2,3,6,6,4,2,7,6,2,5,0,3,3,6,3,121
213,10,7,2,6,10,5,7,2,9,4,4,10,6,9,7,8,3,6,0,9,4,8,0,0,0,6,3,9,154
214,6,5,3,7,2,2,3,2,2,5,4,4,4,5,2,6,5,5,2,9,3,8,2,5,4,7,4,10,126
215,7,11,13,8,3,6,4,5,4,7,4,14,3,11,8,4,2,7,0,0,0,0,0,0,0,0,0,0,121
216,9,5,12,5,2,2,1,1,4,3,7,10,6,9,7,9,12,15,5,5,3,8,4,5,5,3,6,6,169
